SKU,Nombre,Medidas,Inventario,Imágenes
12512,Cruella de Vil,Ancho(mm): 0 Alto(mm): 100 Fondo(mm): 0 Capacidad(ml): 0 Unidad de medida: 1 u.,17,https://tartarizados.com/wp-content/uploads/2023/02/5B125125D2010120Dalmatas20Cruella20de20Vil.jpg
N10049,Abeto Efecto Cristal,Ancho(mm): 0  Alto(mm): 60  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 25 u.,152,https://tartarizados.com/wp-content/uploads/2023/02/5BN100495D20Abeto20Efecto20Cristal.jpg
AB300,Aerógrafo,Ancho(mm): 0  Alto(mm): 0  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,32,https://tartarizados.com/wp-content/uploads/2023/02/5BAB3005D20Aerografo.jpg
PSA16659,Agitador Mojito ,Ancho(mm): 0  Alto(mm): 170  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 50 u.,38,https://tartarizados.com/wp-content/uploads/2023/02/5BPSA166595D20Agitador20Mojito2017020X203020X202120mm..jpg
12454,Aladino,Ancho(mm): 0  Alto(mm): 105  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,10,https://tartarizados.com/wp-content/uploads/2023/02/5B124545D20Aladino20Aladino.jpg
12472,Genio,Ancho(mm): 0  Alto(mm): 75  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,29,https://tartarizados.com/wp-content/uploads/2023/02/5B124725D20Aladino20Genio.jpg
12455,Princesa Jasmine,Ancho(mm): 0  Alto(mm): 65  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,93,https://tartarizados.com/wp-content/uploads/2023/02/5B124555D20Aladino20Princesa20Jasmine.jpg
11400,Alicia,Ancho(mm): 0  Alto(mm): 104  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,118,https://tartarizados.com/wp-content/uploads/2023/02/5B114005D20Alicia20en20El20Pais20de20Las20Maravillas20Alicia.jpg
11402,Conejo Blanco,Ancho(mm): 0  Alto(mm): 81  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,15,https://tartarizados.com/wp-content/uploads/2023/02/5B114025D20Alicia20en20El20Pais20de20Las20Maravillas20Conejo20Blanco.jpg
601A,Alisador Plástico,Ancho(mm): 80 Alto(mm): 165 Fondo(mm): 0 Capacidad(ml): 0 Unidad de medida: 1 u.,285,https://tartarizados.com/wp-content/uploads/2023/02/5B601A5D20Alisador20Plastico20165X8020mm..jpg
RA29,Aluminio 29 cm.,Ancho(mm): 290  Alto(mm): 0  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 250 m,2,https://tartarizados.com/wp-content/uploads/2023/02/5BRA295D20Aluminio202920cm..jpg
ASP10X10,Aluminio Seda Plata,Ancho(mm): 100  Alto(mm): 100  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 Kg,4,https://tartarizados.com/wp-content/uploads/2023/02/5BASP10X105D20Aluminio20Seda20Plata201020X201020cm..jpg
991001,Anillo de Araña,Ancho(mm): 0  Alto(mm): 0  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 12 u.,12,https://tartarizados.com/wp-content/uploads/2023/02/5B9910015D20Anillo20de20Arana.jpg
96025,Capitan América,Ancho(mm): 0  Alto(mm): 80  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,0,https://tartarizados.com/wp-content/uploads/2023/02/5B960255D20Avengers20Assemble20Capitan20America.jpg
96026,Hulk,Ancho(mm): 0  Alto(mm): 90  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,0,https://tartarizados.com/wp-content/uploads/2023/02/5B960265D20Avengers20Assemble20Hulk.jpg
96024,Iron Man,Ancho(mm): 0 Alto(mm): 95 Fondo(mm): 0 Capacidad(ml): 0 Unidad de medida: 1 u.,238,https://tartarizados.com/wp-content/uploads/2023/02/5B960245D20Avengers20Assemble20Iron20Man.jpg
96028,Thor,Ancho(mm): 0  Alto(mm): 105  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,67,https://tartarizados.com/wp-content/uploads/2023/02/5B960285D20Avengers20Assemble20Thor.jpg
96027,Viuda Negra,Ancho(mm): 0  Alto(mm): 90  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,6,https://tartarizados.com/wp-content/uploads/2023/02/5B960275D20Avengers20Assemble20Viuda20Negra.jpg
99143,Barbie *Bolso Rosa*,Ancho(mm): 0  Alto(mm): 100  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,33,https://tartarizados.com/wp-content/uploads/2023/02/5B991435D20Barbie20Bolso20Rosa.jpg
99147,Barbie *Hada*,Ancho(mm): 0  Alto(mm): 100  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,11,https://tartarizados.com/wp-content/uploads/2023/02/5B991475D20Barbie20Hada.jpg
99142,Barbie *Vestido Negro*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,25,https://tartarizados.com/wp-content/uploads/2023/02/5B991425D20Barbie20Vestido20Negro-1.jpg
74119,Barça Toons *Alexis*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,60,https://tartarizados.com/wp-content/uploads/2023/02/5B741195D20Barca20Toons20Alexis.jpg
EF10431,Barça Toons *Ansu Fati*,Ancho(mm): 0 Alto(mm): 70 Fondo(mm): 0 Capacidad(ml): 0 Diámetro(mm): 0 Unidad de medida: 1 u.,255,https://tartarizados.com/wp-content/uploads/2023/02/5BEF104315D20Barca20Toons20Ansu20Fati.jpg
74164,Barça Toons *Dembelé*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,0,https://tartarizados.com/wp-content/uploads/2023/02/5B741645D20Barca20Toons20Dembele.jpg
74118,Barça Toons *Fabregas*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,39,https://tartarizados.com/wp-content/uploads/2023/02/5B741185D20Barca20Toons20Fabregas.jpg
74115,Barça Toons *Guardiola*,Ancho(mm): 0  Alto(mm): 70  Fondo(mm): 0  Capacidad(ml): 0  Unidad de medida: 1 u.,67,https://tartarizados.com/wp-content/uploads/2023/02/5B741155D20Barca20Toons20Guardiola.jpg
